Code	Title	EOS	Mid	
AL801	Software Design with Virtual Reality and Gaming	304	328
AL802	Software Design with Cloud Computing	301	306
AL803	Software Design with Mobile Apps and Connected Devices	309	337
AL805	Network Management and Cloud Infrastructure	329	442
AL810	Quantity Surveying	307	349
AL820	Mechanical and Polymer Engineering	300	358
AL830	General Nursing	410	429
AL832	Psychiatric Nursing	387	403
AL836	Nutrition and Health Science	352	383
AL837	Sports Science with Exercise Physiology	351	392
AL838	Biotechnology	302	372
AL839	Microbiology	322	371
AL840	Pharmaceutical Sciences	328	411
AL841	Athletic and Rehabilitation Therapy	423	430
AL842	Bioveterinary Science	310	366
AL843	Physical Activity and Health Science	310	330
AL850	Business	307	356
AL851	Business and Law	301	341
AL852	Accounting (with optional placement)	290	346
AL853	Accounting and Law	305	320
AL855	Hospitality Management (with International placement)	312	357
AL857	Digital Marketing	300	360
AL860	Social Care Practice	309	338
AL861	Animation and Illustration (portfolio)	#615	899
AL863	Graphic and Digital Design (portfolio)	#703	898
AL864	Early Years Care and Education	307	348
AL870	Applied Psychology	409	445	 
CW018	Business (options, Wexford)	327	349
CW028	Early Childhood Education and Care (Wexford)	252	308
CW038	Art (portfolio, Wexford)	#700	700
CW058	Tourism and Event Management (Wexford)	252	262
CW068	Applied Social Studies - Professional Social Care (Wexford)	251	280
CW078	Sustainable Farm Management and Agribusiness (Wexford)	266	320
CW088	Visual Communications and Design (Wexford)	309	345
CW108	Science (options)	261	326
CW128	Brewing and Distilling	271	298
CW178	Sport Science (options)	399	424
CW188	Sport Rehabilitation and Athletic Therapy	454	473
CW208	Computer Games Development	281	338
CW238	Software Development	300	343
CW248	Information Technology Management	307	357
CW258	Cybercrime and IT Security	300	328
CW268	Computing in Interactive Digital Art and Design	274	321
CW438	Construction (options)	271	308
CW468	Architectural Technology	252	290
CW478	Civil Engineering	348	383
CW548	Mechanical Engineering	310	351
CW558	Electronic Systems	279	338
CW568	Aerospace Engineering	366	422
CW578	TV and Media Production	327	361
CW708	Law - LLB	298	328
CW728	Product Design Innovation	286	355
CW748	Early Childhood Education and Care	265	338
CW758	Applied Social Studies - Professional Social Care	290	319
CW808	Media and Public Relations	248	307
CW848	Digital Marketing with Analytics	279	307
CW858	Sports Management and Coaching (options, portfolio)	#700	700
CW908	Business (options)	260	307
CW938	Business with Law	270	288
CW948	Accounting	301	408 	
PC405	Social, Political and Community Studies	251	296
PC410	Arts and Humanities (fulfils Teaching Council requirements)	203	289
PC411	English and History (fulfils Teaching Council requirements)	168	289 	
CR105	Chemical and Biopharmaceutical Engineering	432	498
CR106	Software Development	351	393
CR108	Mechanical Engineering	425	487
CR109	Structural Engineering	341	467
CR110	Automotive Business Management and Technology	318	347
CR112	Creative Digital Media	335	389
CR116	Computer Systems	318	381
CR121	Music at CIT Cork School of Music	#633	1052
