Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
AL801,Software Design for Virtual Reality and Gaming,300,,303,,304,328
AL802,Software Design in Artificial Intelligence for Clo,313,,332,,301,306
AL803,Software Design for Mobile Apps and Connected Devi,350,,337,,309,337
AL805,Computer Engineering for Network Infrastructure,321,,333,,329,442
AL810,Quantity Surveying,328,,319,,307,349
AL811,Civil Engineering,,,320,,,
AL820,Mechanical and Polymer Engineering,327,,308,,300,358
AL830,General Nursing,451,444,442,,410,429
AL832,Mental Health Nursing,440,431,387,384,387,403
AL835,Pharmacology,356,,,,,
AL836,Nutrition and Health Science,346,,334,,352,383
AL837,Sports Science with Exercise Physiology,357,,351,,351,392
AL838,Biotechnology,324,,307,,302,372
AL839,Microbiology,325,,325,,322,371
AL840,Pharmaceutical Sciences,346,,347,,328,411
AL841,Athletic and Rehabilitation Therapy,477,476,430,,423,430
AL842,Bioveterinary Science,338,,313,,310,366
AL843,Physical Activity and Health Science,306,,306,,310,330
AL849,Culinary Entrepreneurship,297,,,,,
AL850,Business,309,,309,,307,356
AL851,Business and Law,302,,295,,301,341
AL852,Accounting,336,,309,,290,346
AL854,Sport Management (with international placement),300,299,302,299,,
AL855,Hospitality Management (with international placeme,309,,308,,312,357
AL857,Digital Marketing,304,,304,,300,360
AL859,International Business,308,,,,,
AL860,Social Care Practice,301,,300,,309,338
AL861,Animation and Illustration (portfolio),575,,578,,615,899
AL863,Graphic and Digital Design (portfolio),747,,781,,703,898
AL864,Early Years Care and Education,306,,307,,307,348
AL870,Applied Psychology,484,467,418,,409,445
CW018,Business (options),307,,298,248,327,349
CW028,Early Childhood Education and Care,260,,252,,252,308
CW038,Art (portfolio),700,,700,,700,700
CW058,Tourism and Event Management,292,,298,,252,262
CW068,Applied Social Studies in Professional Social Care,250,,245,,251,280
CW078,Sustainable Farm Management and Agribusiness,270,,269,,266,320
CW088,Visual Communications and Design,270,,274,,309,345
CW108,Science (options),266,,261,,261,326
CW128,Brewing and Distilling,307,,263,,271,298
CW138,Sport and Exercise Science,430,423,423,,,
CW148,Strength and Conditioning,388,,379,,,
CW188,Sport Rehabilitation and Athletic Therapy,451,,451,448,454,473
CW208,Computer Games Development,272,,279,,281,338
CW238,Software Development,295,,297,,300,343
CW248,Information Technology Management,293,,285,,307,357
CW258,Cybercrime and IT Security,292,,293,,300,328
CW268,Computing in Interactive Digital Art and Design,291,,287,,274,321
CW438,Construction (options),260,251,272,,271,308
CW468,Architectural Technology,291,283,262,,252,290
CW478,Civil Engineering,465,,433,,348,383
CW548,Mechanical Engineering,330,328,321,,310,351
CW558,Electronic Systems,280,,280,,279,338
CW568,Aerospace Engineering,371,359,380,,366,422
CW578,TV and Media Production,318,,325,,327,361
CW708,Law - LLB,292,,302,,298,328
CW728,Product Design Innovation,246,,252,,286,355
CW748,Early Childhood Education and Care,290,,270,,265,338
CW758,Professional Social Care Practice,360,358,336,,290,319
CW808,Media and Public Relations,247,,251,,248,307
CW848,Digital Marketing with Analytics,269,,254,,279,307
CW858,Sports Management and Coaching (options  portfolio,700,,700,,700,700
CW908,Business (options),272,,280,,260,307
CW938,Business with Law,270,,283,,270,288
CW948,Accounting,319,,300,,301,408 
PC405,Social  Political and Community Studies,263,235,253,216,251,296
PC410,Arts and Humanities (fulfils Teaching Council requ,262,230,252,209,203,289
PC411,English and History (fulfils Teaching Council requ,243,224,255,209,168,289 
CR105,Chemical and Biopharmaceutical Engineering,443,,443,,432,498
CR106,Software Development,431,,411,,351,393
CR108,Mechanical Engineering,434,,434,,425,487
CR109,Structural Engineering,396,,394,,341,467
CR110,Automotive Business Management and Technology,336,,311,,318,347
CR112,Creative Digital Media at CIT Crawford College of,390,,361,,335,389
CR116,Computer Systems,365,,332,,318,381
CR121,Music at CIT Cork School of Music,904,904,868,,633,1052
CR125,Popular Music at CIT Cork School of Music,1028,,1088,,972,1021
CR130,Musical Theatre at CIT Cork School of Music,525,,548,518,500,600
CR150,Business Information Systems,350,,335,,326,371
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,,,,979,979
CR220,Fine Art at CIT Crawford College of Art and Design,400,,,,620,819
CR225,Photography with New Media at CIT Crawford College,435,,,,920,920
CR305,Physical Sciences (Common Entry),260,,282,,279,309
CR310,IT Management,347,,297,,282,317
CR320,Biomedical Science - Offered jointly by CIT and UC,590,,565,,546,556
CR325,Pharmaceutical Biotechnology,466,,398,,388,422
CR333,Nutrition and Health Science,425,,402,,360,393
CR335,Biological Sciences (Common Entry),473,,420,,381,419
CR340,Analytical Chemistry with Quality Assurance,327,,251,,288,315
CR360,Instrument Engineering,301,,261,,291,329
CR365,Environmental Science and Sustainable Technology,262,,253,,334,362
CR370,Agri-Biosciences,368,,397,,408,431
CR400,Accounting,315,,316,,316,389
CR420,Marketing,290,,285,,288,329
CR425,International Business with Language,279,,298,,300,392
CR430,Sport and Exercise Management,402,,322,,,
CR435,Coaching Science and Sports Pedagogy,410,,,,,
CR440,Montessori Education,409,408,288,,,
CR500,Engineering (Common Entry),475,,411,,381,424
CR510,Sustainable Energy Engineering,320,,320,,319,343
CR520,Biomedical Engineering,444,,444,,434,477
CR560,Architectural Technology,375,,308,,288,332
CR565,Interior Architecture,431,,359,,336,390
CR570,Quantity Surveying,375,,336,,279,342
CR572,Construction Management,300,,269,,253,300
CR580,Electrical Engineering,342,,318,,344,374
CR590,Electronic Engineering,329,,303,,342,411
CR600,Visual Communications at CIT Crawford College of A,280,,,,587,888
CR660,Tourism Management,246,,252,,249,290
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,609,740,645,768    906, 
CR930,Home Economics and Business,518,,,,,
CK101,Arts - 3 years,300,,300,,300,368
CK102,Social Science,434,431,412,,391,431
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,,302,,340,409
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420,368,337,397,442
